Label,Accuracy,Precision,Recall,F1 Score
Audio & Electronics,0.9863422962014511,0.9498069498069498,0.9283018867924528,0.9389312977099237
Automotive Tools,0.9769526248399488,0.9333333333333333,0.89171974522293,0.9120521172638437
Body Parts,0.960734101579172,0.8898550724637682,0.850415512465374,0.8696883852691217
Exterior,0.9372599231754162,0.8963503649635036,0.8898550724637682,0.893090909090909
Interior,0.967989756722151,0.9238578680203046,0.8899755501222494,0.9066002490660025
Lighting,0.9850618864703372,0.9246575342465754,0.8490566037735849,0.8852459016393444
Parts,0.9598804950917627,0.9361344537815126,0.9086460032626428,0.922185430463576
